respondent_id,date,team,role,satisfaction,nps,sus_score,usability_score,a11y_score,ui_consistency,cwv_score
USR001,2024-01-15,Product,Designer,8,9,78,82,85,80,88
USR002,2024-01-15,Frontend,Developer,9,10,85,88,90,85,92
USR003,2024-01-15,Mobile,Developer,7,7,72,75,78,72,85
USR004,2024-01-20,Design,Designer,8,8,80,85,88,82,90
USR005,2024-01-20,Backend,Developer,6,6,68,70,72,68,82
USR006,2024-01-25,QA,Tester,7,7,75,78,95,75,85
USR007,2024-02-01,Product,PM,8,9,82,80,82,78,88
USR008,2024-02-01,Marketing,Designer,7,8,70,75,80,70,84
USR009,2024-02-10,Frontend,Developer,9,9,88,90,92,88,94
USR010,2024-02-10,Mobile,Developer,8,8,78,82,85,80,88
USR011,2024-02-15,Design,Designer,9,10,85,88,90,85,90
USR012,2024-02-15,Backend,Developer,7,7,72,74,75,72,85
USR013,2024-02-20,QA,Tester,8,8,80,82,96,80,88
USR014,2024-02-25,Product,Designer,8,9,78,85,88,82,90
USR015,2024-03-01,Frontend,Developer,9,9,86,88,90,86,92
USR016,2024-03-01,Data,Analyst,7,7,72,75,78,72,84
USR017,2024-03-05,Design,Designer,8,8,82,85,88,84,90
USR018,2024-03-05,Mobile,Developer,8,8,78,80,82,78,86
USR019,2024-03-10,Product,PM,7,8,75,78,80,75,88
USR020,2024-03-10,Frontend,Developer,9,10,88,90,92,88,94
